SampleMethod,SPP,Time,RMSE
0,2,1.33377,9.76145817697032
0,4,2.50291,9.752659466354123
0,8,4.79901,9.740192550762327
0,16,9.55907,9.706635903110591
0,32,19.3444,9.734700008693604
0,64,43.69,9.443126002744203
0,128,90.8111,9.03026013734644
1,2,0.714594,8.813063641024087
1,4,1.48416,8.905636531828426
1,8,2.9477,8.98492698706912
1,16,5.82642,9.042613980071947
1,32,11.4724,9.083399133298878
1,64,22.7919,9.110917596183407
1,128,45.4975,9.12857849669763
2,2,1.06221,8.999527405287376
2,4,2.07551,8.795972931678156
2,8,4.04524,8.417420703297198
2,16,8.34964,7.925512952204138
2,32,15.3977,7.345292016987127
2,64,30.4461,6.713714335983114
2,128,60.1541,6.080503527517121
3,2,3.13289,8.145467269410457
3,4,6.14717,7.61067537276618
3,8,12.3156,6.960710039878062
3,16,24.1532,6.2650236469063945
3,32,47.6374,5.609478667926809
3,64,95.1812,5.079965733334414
3,128,188.437,4.727421875884634
4,2,2.31309,8.32823555186856
4,4,5.36253,7.861362795342803
4,8,10.434,7.240275406568659
4,16,20.4751,6.554500715510651
4,32,40.445,5.943244453127402
4,64,79.6056,5.46770848812472
4,128,154.877,5.113488698204648
