SampleMethod,SPP,Time,RMSE
0,2,2.36941,9.738315790959156
0,4,4.55922,9.732813865513958
0,8,8.85326,9.60242561948687
0,16,18.2278,9.390306122490047
0,32,38.5584,9.241320803066259
0,64,80.7707,8.91693597724141
0,128,160.248,8.439214188010109
1,2,1.46622,9.429058758649989
1,4,2.87989,9.419754164441795
1,8,5.84893,9.433109685216923
1,16,12.1136,9.479602517452347
1,32,23.712,9.53983655423307
1,64,47.0149,9.598050438616283
1,128,94.1514,9.648150465628499
2,2,1.90652,9.454551079300968
2,4,3.74399,9.320966409917741
2,8,7.89095,9.103240316462005
2,16,15.7899,8.747151494015595
2,32,31.6313,8.29397287860957
2,64,63.2969,7.729706405233714
2,128,124.455,7.06238379124321
3,2,6.15353,9.1389469771879
3,4,13.6426,8.77062146748598
3,8,27.341,8.309281067087083
3,16,52.8122,7.713236038472126
3,32,104.907,7.025043297612715
3,64,212.673,6.2935087810996
3,128,420.158,5.589935400143528
4,2,4.29592,9.199630226063235
4,4,8.51169,8.877018184720129
4,8,17.2077,8.41896728733312
4,16,36.8203,7.833954585293716
4,32,74.1613,7.136083581971899
4,64,147.327,6.3427195067053646
4,128,292.414,5.541254871918053
